VARIABLES = "xCorner", "yCorner", "xSds", "ySds", "xSnorm", "ySnorm" 
ZONE T = "Outer edge ", I = 129 , J = 65, F=POINT 

1 0 8.62e-05 -0.0006 0.142207 -0.989837
0.9994 -8.62e-05 0.00025799 -0.00181 0.14111 -0.989994
0.99759 -0.00034419 0.00042789 -0.003 0.141201 -0.989981
0.99459 -0.00077208 0.00059502 -0.0042 0.140271 -0.990113
0.99039 -0.0013671 0.0007579 -0.00537 0.139751 -0.990187
0.98502 -0.002125 0.0009158 -0.00655 0.13847 -0.990367
0.97847 -0.0030408 0.0010677 -0.0077 0.137348 -0.990523
0.97077 -0.0041085 0.0012125 -0.00883 0.136039 -0.990703
0.96194 -0.005321 0.0013499 -0.00995 0.134437 -0.990922
0.95199 -0.0066709 0.0014787 -0.01103 0.132873 -0.991133
0.94096 -0.0081496 0.0015988 -0.0121 0.130994 -0.991383
0.92886 -0.0097484 0.0017096 -0.01313 0.129116 -0.99163
0.91573 -0.011458 0.00181 -0.01413 0.127058 -0.991895
0.9016 -0.013268 0.001902 -0.01509 0.125054 -0.99215
0.88651 -0.01517 0.001982 -0.01603 0.122709 -0.992443
0.87048 -0.017152 0.002052 -0.01693 0.120324 -0.992735
0.85355 -0.019204 0.002112 -0.01777 0.118021 -0.993011
0.83578 -0.021316 0.002162 -0.01858 0.115582 -0.993298
0.8172 -0.023478 0.002201 -0.01935 0.113018 -0.993593
0.79785 -0.025679 0.002228 -0.02007 0.110334 -0.993895
0.77778 -0.027907 0.002245 -0.02073 0.107668 -0.994187
0.75705 -0.030152 0.002252 -0.02135 0.104898 -0.994483
0.7357 -0.032404 0.002246 -0.02192 0.10193 -0.994792
0.71378 -0.03465 0.00223 -0.02244 0.098889 -0.995098
0.69134 -0.03688 0.002202 -0.0229 0.0957157 -0.995409
0.66844 -0.039082 0.002162 -0.0233 0.0923928 -0.995723
0.64514 -0.041244 0.002108 -0.02365 0.0887812 -0.996051
0.62149 -0.043352 0.002044 -0.02394 0.0850706 -0.996375
0.59755 -0.045396 0.001966 -0.02418 0.0810394 -0.996711
0.57337 -0.047362 0.001874 -0.02436 0.0767028 -0.997054
0.54901 -0.049236 0.00177 -0.02448 0.0721157 -0.997396
0.52453 -0.051006 0.00165 -0.02453 0.0671129 -0.997745
0.5 -0.052656 0.001519 -0.02453 0.0618058 -0.998088
0.47547 -0.054175 0.001372 -0.02448 0.0559579 -0.998433
0.45099 -0.055547 0.001213 -0.02436 0.0497331 -0.998763
0.42663 -0.05676 0.001039 -0.02418 0.0429298 -0.999078
0.40245 -0.057799 0.000854 -0.02394 0.0356498 -0.999364
0.37851 -0.058653 0.000657 -0.02365 0.0277694 -0.999614
0.35486 -0.05931 0.000448 -0.0233 0.0192239 -0.999815
0.33156 -0.059758 0.000229 -0.0229 0.0099995 -0.99995
0.30866 -0.059987 2e-06 -0.02244 8.91266e-05 -1
0.28622 -0.059989 -0.000233 -0.02192 -0.010629 -0.999944
0.2643 -0.059756 -0.000474 -0.02135 -0.0221959 -0.999754
0.24295 -0.059282 -0.000718 -0.02074 -0.0345984 -0.999401
0.22221 -0.058564 -0.000966 -0.02006 -0.0480998 -0.998843
0.20215 -0.057598 -0.001214 -0.01935 -0.0626159 -0.998038
0.1828 -0.056384 -0.00146 -0.01858 -0.0783376 -0.996927
0.16422 -0.054924 -0.001704 -0.01777 -0.0954541 -0.995434
0.14645 -0.05322 -0.001942 -0.01693 -0.11396 -0.993485
0.12952 -0.051278 -0.002174 -0.01603 -0.13439 -0.990928
0.11349 -0.049104 -0.002399 -0.015094 -0.156967 -0.987604
0.098396 -0.046705 -0.002614 -0.014131 -0.181897 -0.983318
0.084265 -0.044091 -0.002818 -0.013129 -0.20986 -0.977732
0.071136 -0.041273 -0.003012 -0.012097 -0.241611 -0.970373
0.059039 -0.038261 -0.003194 -0.011034 -0.278054 -0.960565
0.048005 -0.035067 -0.003363 -0.009945 -0.32034 -0.947303
0.03806 -0.031704 -0.003522 -0.008832 -0.370411 -0.928868
0.029228 -0.028182 -0.003667 -0.007698 -0.430056 -0.902802
0.02153 -0.024515 -0.003802 -0.006546 -0.502244 -0.864726
0.014984 -0.020713 -0.003927 -0.0053767 -0.589808 -0.807543
0.0096073 -0.016786 -0.004042 -0.0041956 -0.693801 -0.720166
0.0054117 -0.012744 -0.004149 -0.0030041 -0.809974 -0.586465
0.0024076 -0.008595 -0.0042498 -0.00180532 -0.920397 -0.390986
0.00060228 -0.0043452 -0.0043452 -0.00060228 -0.99053 -0.137296
0 0 -0.0043452 0.00060228 -0.99053 0.137296
0.00060228 0.0043452 -0.0042498 0.00180532 -0.920397 0.390986
0.0024076 0.008595 -0.004149 0.0030041 -0.809974 0.586465
0.0054117 0.012744 -0.004042 0.0041956 -0.693801 0.720166
0.0096073 0.016786 -0.003927 0.0053767 -0.589808 0.807543
0.014984 0.020713 -0.003802 0.006546 -0.502244 0.864726
0.02153 0.024515 -0.003667 0.007698 -0.430056 0.902802
0.029228 0.028182 -0.003522 0.008832 -0.370411 0.928868
0.03806 0.031704 -0.003363 0.009945 -0.32034 0.947303
0.048005 0.035067 -0.003194 0.011034 -0.278054 0.960565
0.059039 0.038261 -0.003012 0.012097 -0.241611 0.970373
0.071136 0.041273 -0.002818 0.013129 -0.20986 0.977732
0.084265 0.044091 -0.002614 0.014131 -0.181897 0.983318
0.098396 0.046705 -0.002399 0.015094 -0.156967 0.987604
0.11349 0.049104 -0.002174 0.01603 -0.13439 0.990928
0.12952 0.051278 -0.001942 0.01693 -0.11396 0.993485
0.14645 0.05322 -0.001704 0.01777 -0.0954541 0.995434
0.16422 0.054924 -0.00146 0.01858 -0.0783376 0.996927
0.1828 0.056384 -0.001214 0.01935 -0.0626159 0.998038
0.20215 0.057598 -0.000966 0.02006 -0.0480998 0.998843
0.22221 0.058564 -0.000718 0.02074 -0.0345984 0.999401
0.24295 0.059282 -0.000474 0.02135 -0.0221959 0.999754
0.2643 0.059756 -0.000233 0.02192 -0.010629 0.999944
0.28622 0.059989 2e-06 0.02244 8.91266e-05 1
0.30866 0.059987 0.000229 0.0229 0.0099995 0.99995
0.33156 0.059758 0.000448 0.0233 0.0192239 0.999815
0.35486 0.05931 0.000657 0.02365 0.0277694 0.999614
0.37851 0.058653 0.000854 0.02394 0.0356498 0.999364
0.40245 0.057799 0.001039 0.02418 0.0429298 0.999078
0.42663 0.05676 0.001213 0.02436 0.0497331 0.998763
0.45099 0.055547 0.001372 0.02448 0.0559579 0.998433
0.47547 0.054175 0.001519 0.02453 0.0618058 0.998088
0.5 0.052656 0.00165 0.02453 0.0671129 0.997745
0.52453 0.051006 0.00177 0.02448 0.0721157 0.997396
0.54901 0.049236 0.001874 0.02436 0.0767028 0.997054
0.57337 0.047362 0.001966 0.02418 0.0810394 0.996711
0.59755 0.045396 0.002044 0.02394 0.0850706 0.996375
0.62149 0.043352 0.002108 0.02365 0.0887812 0.996051
0.64514 0.041244 0.002162 0.0233 0.0923928 0.995723
0.66844 0.039082 0.002202 0.0229 0.0957157 0.995409
0.69134 0.03688 0.00223 0.02244 0.098889 0.995098
0.71378 0.03465 0.002246 0.02192 0.10193 0.994792
0.7357 0.032404 0.002252 0.02135 0.104898 0.994483
